source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:1902600,proton transmembrane transport,2.449840995552535e-05,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",190,3,3,21026,1.0,0.015789473684210527,query_1,"['GO:0098655', 'GO:0098662']"
GO:BP,GO:0006119,oxidative phosphorylation,2.449840995552535e-05,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",146,3,3,21026,1.0,0.02054794520547945,query_1,['GO:0009060']
GO:BP,GO:0009060,aerobic respiration,2.449840995552535e-05,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",199,3,3,21026,1.0,0.01507537688442211,query_1,['GO:0045333']
GO:BP,GO:0045333,cellular respiration,3.3132813709204815e-05,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",242,3,3,21026,1.0,0.012396694214876033,query_1,['GO:0015980']
GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,7.708614242400755e-05,True,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",345,3,3,21026,1.0,0.008695652173913044,query_1,['GO:0006091']
GO:BP,GO:0006091,generation of precursor metabolites and energy,0.00017126816226907578,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",478,3,3,21026,1.0,0.006276150627615063,query_1,['GO:0008152']
GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,0.0003764747872837182,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",67,3,2,21026,0.6666666666666666,0.029850746268656716,query_1,"['GO:0006119', 'GO:0015986']"
GO:BP,GO:0098660,inorganic ion transmembrane transport,0.00043971611415986715,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",944,3,3,21026,1.0,0.0031779661016949155,query_1,['GO:0055085']
GO:BP,GO:0098655,monoatomic cation transmembrane transport,0.00043971611415986715,True,"""The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",877,3,3,21026,1.0,0.0034207525655644243,query_1,"['GO:0006812', 'GO:0034220']"
GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,0.00043971611415986715,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",99,3,2,21026,0.6666666666666666,0.020202020202020204,query_1,['GO:0042773']
